"codigo";"region";"comuna";"personas_proy";"personas";"porcentaje";"limite_inferior";"limite_superior";"casen";"tipo_estimacion"
"1101";"Tarapacá";"Iquique";229674;41966,5662413712;0,182722320512427;0,162429287767374;0,20301535325748;"Sí";"Directa y Sintética (Fay-Herriot)"
"1107";"Tarapacá";"Alto Hospicio";138527;45162,4429812612;0,326019064740168;0,294775537042412;0,357262592437923;"Sí";"Directa y Sintética (Fay-Herriot)"
"1401";"Tarapacá";"Pozo Almonte";18290;4563,39531276156;0,249502204087565;0,199333537665668;0,299670870509462;"Sí";"Directa y Sintética (Fay-Herriot)"
"1402";"Tarapacá";"Camiña";1380;307,626999011738;0,222918115225897;0,137765533111077;0,308070697340718;"Sí";"Sintética"
"1403";"Tarapacá";"Colchane";1575;472,752771580576;0,300160489892429;0,187494667025158;0,4128263127597;"Sí";"Sintética"
"1404";"Tarapacá";"Huara";3072;1184,71901872103;0,385650722239919;0,318692926904102;0,452608517575735;"Sí";"Directa y Sintética (Fay-Herriot)"
"1405";"Tarapacá";"Pica";6184;1040,26724287233;0,168219153116484;0,119493803955386;0,216944502277581;"Sí";"Directa y Sintética (Fay-Herriot)"
"2101";"Antofagasta";"Antofagasta";438942;73102,8869714145;0,166543386077009;0,14085238440102;0,192234387752998;"Sí";"Directa y Sintética (Fay-Herriot)"
"2102";"Antofagasta";"Mejillones";15502;3077,7611637549;0,198539618356012;0,126537913525911;0,270541323186114;"Sí";"Directa y Sintética (Fay-Herriot)"
"2103";"Antofagasta";"Sierra Gorda";1790;294,946135429673;0,164774377335013;0,0742717702223417;0,255276984447684;"Sí";"Sintética"
"2104";"Antofagasta";"Taltal";13892;2937,7489618431;0,211470555848193;0,139991656106668;0,282949455589719;"Sí";"Directa y Sintética (Fay-Herriot)"
"2201";"Antofagasta";"Calama";194772;32667,8064115328;0,167723319632867;0,140592880770365;0,19485375849537;"Sí";"Directa y Sintética (Fay-Herriot)"
"2202";"Antofagasta";"Ollagüe";277;44,5549254121067;0,16084810618089;0,0721307083203344;0,249565504041447;"No";"Sintética"
"2203";"Antofagasta";"San Pedro De Atacama";10862;2439,54272127197;0,224594247953597;0,179050830527501;0,270137665379692;"Sí";"Directa y Sintética (Fay-Herriot)"
"2301";"Antofagasta";"Tocopilla";28296;5805,12653966776;0,205157143754162;0,149187634837038;0,261126652671285;"Sí";"Directa y Sintética (Fay-Herriot)"
"2302";"Antofagasta";"María Elena";6647;1008,64049874652;0,151743718782385;0,0771920021915748;0,226295435373196;"Sí";"Sintética"
"3101";"Atacama";"Copiapó";174693;34633,6354608386;0,198254283004119;0,179991867570217;0,216516698438021;"Sí";"Directa y Sintética (Fay-Herriot)"
"3102";"Atacama";"Caldera";19782;3889,83191716773;0,196634916447666;0,152676711658641;0,240593121236691;"Sí";"Directa y Sintética (Fay-Herriot)"
"3103";"Atacama";"Tierra Amarilla";14407;4971,96445373602;0,345107548673286;0,298508954579916;0,391706142766655;"Sí";"Directa y Sintética (Fay-Herriot)"
"3201";"Atacama";"Chañaral";13094;2984,62764957803;0,227938571069042;0,182145445866054;0,273731696272028;"Sí";"Directa y Sintética (Fay-Herriot)"
"3202";"Atacama";"Diego De Almagro";14082;2666,71142099742;0,189370218789761;0,144321605929407;0,234418831650115;"Sí";"Directa y Sintética (Fay-Herriot)"
"3301";"Atacama";"Vallenar";57266;9456,97512306477;0,165141185399099;0,140953251855693;0,189329118942504;"Sí";"Directa y Sintética (Fay-Herriot)"
"3302";"Atacama";"Alto Del Carmen";5763;1606,9330278071;0,278836201250581;0,188862812609148;0,368809589892014;"Sí";"Sintética"
"3303";"Atacama";"Freirina";7790;2225,45918665117;0,285681538722872;0,223711949834835;0,347651127610909;"Sí";"Directa y Sintética (Fay-Herriot)"
"3304";"Atacama";"Huasco";11485;2045,24732199058;0,178079871309585;0,132262980558537;0,223896762060632;"Sí";"Directa y Sintética (Fay-Herriot)"
"4101";"Coquimbo";"La Serena";260599;34150,9817018664;0,131048015156875;0,101950477495447;0,160145552818302;"Sí";"Directa y Sintética (Fay-Herriot)"
"4102";"Coquimbo";"Coquimbo";268325;44874,3858465871;0,167238929829823;0,13092038249804;0,203557477161605;"Sí";"Directa y Sintética (Fay-Herriot)"
"4103";"Coquimbo";"Andacollo";11819;2287,33183705075;0,193530064899801;0,130717147735587;0,256342982064015;"Sí";"Directa y Sintética (Fay-Herriot)"
"4104";"Coquimbo";"La Higuera";4508;1331,20256137288;0,295297817518385;0,227237140807602;0,363358494229168;"Sí";"Directa y Sintética (Fay-Herriot)"
"4105";"Coquimbo";"Paiguano";4695;710,78098704235;0,151391051553216;0,092777065077305;0,210005038029128;"Sí";"Directa y Sintética (Fay-Herriot)"
"4106";"Coquimbo";"Vicuña";30247;5887,61909871551;0,194651340586356;0,127520154514649;0,261782526658063;"Sí";"Directa y Sintética (Fay-Herriot)"
"4201";"Coquimbo";"Illapel";32965;5590,63249963015;0,169592977389053;0,106653046103158;0,232532908674948;"Sí";"Directa y Sintética (Fay-Herriot)"
"4202";"Coquimbo";"Canela";9535;2277,45684699757;0,238852317461727;0,167621229641327;0,310083405282128;"Sí";"Directa y Sintética (Fay-Herriot)"
"4203";"Coquimbo";"Los Vilos";24015;5025,78884225896;0,209277070258545;0,146657099905419;0,271897040611671;"Sí";"Directa y Sintética (Fay-Herriot)"
"4204";"Coquimbo";"Salamanca";29631;4145,41655289113;0,139901338223183;0,081803069658907;0,197999606787459;"Sí";"Directa y Sintética (Fay-Herriot)"
"4301";"Coquimbo";"Ovalle";123252;22146,0256975175;0,179680862765046;0,133839855860674;0,225521869669419;"Sí";"Directa y Sintética (Fay-Herriot)"
"4302";"Coquimbo";"Combarbalá";13884;3110,42292027607;0,224029308576496;0,150958380509664;0,297100236643328;"Sí";"Directa y Sintética (Fay-Herriot)"
"4303";"Coquimbo";"Monte Patria";32649;7569,69711167727;0,231850810489671;0,159756544389228;0,303945076590115;"Sí";"Directa y Sintética (Fay-Herriot)"
"4304";"Coquimbo";"Punitaqui";12396;3318,71099761657;0,267724346371133;0,195931024521824;0,339517668220442;"Sí";"Directa y Sintética (Fay-Herriot)"
"4305";"Coquimbo";"Río Hurtado";4327;987,799094108278;0,228287287753242;0,159445917104401;0,297128658402083;"Sí";"Directa y Sintética (Fay-Herriot)"
"5101";"Valparaíso";"Valparaíso";318916;60901,1166004179;0,190962876119159;0,157855422851552;0,224070329386766;"Sí";"Directa y Sintética (Fay-Herriot)"
"5102";"Valparaíso";"Casablanca";30028;5890,59224324096;0,19616998279076;0,138254257367781;0,25408570821374;"Sí";"Directa y Sintética (Fay-Herriot)"
"5103";"Valparaíso";"Concón";47320;6341,27979554222;0,134008448764629;0,087641049983914;0,180375847545343;"Sí";"Directa y Sintética (Fay-Herriot)"
"5104";"Valparaíso";"Juan Fernández";1081;60,8401145325299;0,0562813270421183;0,00347437900656684;0,10908827507767;"No";"Sintética"
"5105";"Valparaíso";"Puchuncaví";20785;6568,06951312153;0,316000457691678;0,252050286158266;0,379950629225091;"Sí";"Directa y Sintética (Fay-Herriot)"
"5107";"Valparaíso";"Quintero";37691;8825,23018407174;0,23414688344888;0,176837514311876;0,291456252585884;"Sí";"Directa y Sintética (Fay-Herriot)"
"5109";"Valparaíso";"Viña Del Mar";367792;54770,7535764761;0,14891774039804;0,121649855710222;0,176185625085859;"Sí";"Directa y Sintética (Fay-Herriot)"
"5201";"Valparaíso";"Isla De Pascua";8656;1079,9227901014;0,124760026582879;0,0602866903451065;0,189233362820651;"No";"Sintética"
"5301";"Valparaíso";"Los Andes";68637;10428,8004867901;0,151941379821236;0,109747850757551;0,194134908884919;"Sí";"Directa y Sintética (Fay-Herriot)"
