cut_region;region;provincia;codigo;comuna;tipo_com;clasificacion;tot_pers_res_2024
1;TARAPACÁ;IQUIQUE;1101;IQUIQUE;1;Urbana;199587
1;TARAPACÁ;IQUIQUE;1107;ALTO HOSPICIO;1;Urbana;142086
1;TARAPACÁ;DEL TAMARUGAL;1401;POZO ALMONTE;3;Rural;16878
1;TARAPACÁ;DEL TAMARUGAL;1402;CAMIÑA;3;Rural;1335
1;TARAPACÁ;DEL TAMARUGAL;1403;COLCHANE;3;Rural;790
1;TARAPACÁ;DEL TAMARUGAL;1404;HUARA;3;Rural;2858
1;TARAPACÁ;DEL TAMARUGAL;1405;PICA;3;Rural;6272
2;ANTOFAGASTA;ANTOFAGASTA;2101;ANTOFAGASTA;1;Urbana;401096
2;ANTOFAGASTA;ANTOFAGASTA;2102;MEJILLONES;3;Rural;14084
2;ANTOFAGASTA;ANTOFAGASTA;2103;SIERRA GORDA;3;Rural;1472
2;ANTOFAGASTA;ANTOFAGASTA;2104;TALTAL;3;Rural;12097
2;ANTOFAGASTA;EL LOA;2201;CALAMA;1;Urbana;166334
2;ANTOFAGASTA;EL LOA;2202;OLLAGÜE;3;Rural;256
2;ANTOFAGASTA;EL LOA;2203;SAN PEDRO DE ATACAMA;3;Rural;9843
2;ANTOFAGASTA;TOCOPILLA;2301;TOCOPILLA;3;Rural;25400
2;ANTOFAGASTA;TOCOPILLA;2302;MARÍA ELENA;3;Rural;4834
3;ATACAMA;COPIAPÓ;3101;COPIAPÓ;1;Urbana;168831
3;ATACAMA;COPIAPÓ;3102;CALDERA;3;Rural;18805
3;ATACAMA;COPIAPÓ;3103;TIERRA AMARILLA;3;Rural;11846
3;ATACAMA;CHAÑARAL;3201;CHAÑARAL;3;Rural;12345
3;ATACAMA;CHAÑARAL;3202;DIEGO DE ALMAGRO;3;Rural;11397
3;ATACAMA;HUASCO;3301;VALLENAR;1;Urbana;54222
3;ATACAMA;HUASCO;3302;ALTO DEL CARMEN;3;Rural;4788
3;ATACAMA;HUASCO;3303;FREIRINA;3;Rural;7577
3;ATACAMA;HUASCO;3304;HUASCO;3;Rural;9369
4;COQUIMBO;ELQUI;4101;LA SERENA;1;Urbana;250141
4;COQUIMBO;ELQUI;4102;COQUIMBO;1;Urbana;263719
4;COQUIMBO;ELQUI;4103;ANDACOLLO;3;Rural;11566
4;COQUIMBO;ELQUI;4104;LA HIGUERA;3;Rural;4335
4;COQUIMBO;ELQUI;4105;PAIGUANO;3;Rural;4649
4;COQUIMBO;ELQUI;4106;VICUÑA;3;Rural;28047
4;COQUIMBO;CHOAPA;4201;ILLAPEL;3;Rural;32009
4;COQUIMBO;CHOAPA;4202;CANELA;3;Rural;9639
4;COQUIMBO;CHOAPA;4203;LOS VILOS;3;Rural;22879
4;COQUIMBO;CHOAPA;4204;SALAMANCA;3;Rural;27823
4;COQUIMBO;LIMARÍ;4301;OVALLE;1;Urbana;118696
4;COQUIMBO;LIMARÍ;4302;COMBARBALÁ;3;Rural;12954
4;COQUIMBO;LIMARÍ;4303;MONTE PATRIA;3;Rural;29997
4;COQUIMBO;LIMARÍ;4304;PUNITAQUI;3;Rural;12076
4;COQUIMBO;LIMARÍ;4305;RÍO HURTADO;3;Rural;4334
5;VALPARAÍSO;VALPARAÍSO;5101;VALPARAÍSO;1;Urbana;284938
5;VALPARAÍSO;VALPARAÍSO;5102;CASABLANCA;2;Mixta;29876
5;VALPARAÍSO;VALPARAÍSO;5103;CONCÓN;2;Mixta;48294
5;VALPARAÍSO;VALPARAÍSO;5104;JUAN FERNÁNDEZ;3;Rural;904
5;VALPARAÍSO;VALPARAÍSO;5105;PUCHUNCAVÍ;2;Mixta;22539
5;VALPARAÍSO;VALPARAÍSO;5107;QUINTERO;2;Mixta;35754
5;VALPARAÍSO;VALPARAÍSO;5109;VIÑA DEL MAR;1;Urbana;334871
5;VALPARAÍSO;ISLA DE PASCUA;5201;ISLA DE PASCUA;3;Rural;4800
5;VALPARAÍSO;LOS ANDES;5301;LOS ANDES;1;Urbana;63440
5;VALPARAÍSO;LOS ANDES;5302;CALLE LARGA;2;Mixta;16597
5;VALPARAÍSO;LOS ANDES;5303;RINCONADA;3;Rural;11855
5;VALPARAÍSO;LOS ANDES;5304;SAN ESTEBAN;2;Mixta;20112
5;VALPARAÍSO;PETORCA;5401;LA LIGUA;2;Mixta;39270
5;VALPARAÍSO;PETORCA;5402;CABILDO;2;Mixta;20015
5;VALPARAÍSO;PETORCA;5403;PAPUDO;3;Rural;7561
5;VALPARAÍSO;PETORCA;5404;PETORCA;3;Rural;10206
5;VALPARAÍSO;PETORCA;5405;ZAPALLAR;3;Rural;7980
5;VALPARAÍSO;QUILLOTA;5501;QUILLOTA;1;Urbana;96753
5;VALPARAÍSO;QUILLOTA;5502;CALERA;1;Urbana;50631
5;VALPARAÍSO;QUILLOTA;5503;HIJUELAS;2;Mixta;19286
5;VALPARAÍSO;QUILLOTA;5504;LA CRUZ;2;Mixta;24939
5;VALPARAÍSO;QUILLOTA;5506;NOGALES;3;Rural;22136
5;VALPARAÍSO;SAN ANTONIO;5601;SAN ANTONIO;1;Urbana;96770
5;VALPARAÍSO;SAN ANTONIO;5602;ALGARROBO;2;Mixta;16076
5;VALPARAÍSO;SAN ANTONIO;5603;CARTAGENA;2;Mixta;24599
5;VALPARAÍSO;SAN ANTONIO;5604;EL QUISCO;2;Mixta;18971
5;VALPARAÍSO;SAN ANTONIO;5605;EL TABO;2;Mixta;16260
5;VALPARAÍSO;SAN ANTONIO;5606;SANTO DOMINGO;3;Rural;13171
5;VALPARAÍSO;SAN FELIPE DE ACONCAGUA;5701;SAN FELIPE;1;Urbana;80413
5;VALPARAÍSO;SAN FELIPE DE ACONCAGUA;5702;CATEMU;3;Rural;13760
5;VALPARAÍSO;SAN FELIPE DE ACONCAGUA;5703;LLAILLAY;2;Mixta;25484
5;VALPARAÍSO;SAN FELIPE DE ACONCAGUA;5704;PANQUEHUE;3;Rural;7269
5;VALPARAÍSO;SAN FELIPE DE ACONCAGUA;5705;PUTAENDO;3;Rural;17336
5;VALPARAÍSO;SAN FELIPE DE ACONCAGUA;5706;SANTA MARÍA;2;Mixta;15134
5;VALPARAÍSO;MARGA MARGA;5801;QUILPUÉ;1;Urbana;162559
5;VALPARAÍSO;MARGA MARGA;5802;LIMACHE;2;Mixta;56145
5;VALPARAÍSO;MARGA MARGA;5803;OLMUÉ;2;Mixta;19778
5;VALPARAÍSO;MARGA MARGA;5804;VILLA ALEMANA;1;Urbana;139571
6;LIBERTADOR GENERAL BERNARDO O'HIGGINS;CACHAPOAL;6101;RANCAGUA;1;Urbana;257744
6;LIBERTADOR GENERAL BERNARDO O'HIGGINS;CACHAPOAL;6102;CODEGUA;2;Mixta;13955
